PurchaseOrderID,RevisionNumber,Status,EmployeeID,VendorID,ProductID,OrderQty,UnitPrice,LineTotal,OrderDate,ShipMethod,ShipBase,ShipRate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue,DueDate,ReceivedQty,RejectedQty,StockedQty
1,0,4,244,83,1,4,50.26,201.04,"2001-05-17 00:00:00","OVERSEAS - DELUXE",29.95,2.99,"2001-05-26 00:00:00",201.04,16.0832,5.026,222.1492,"2001-05-31 00:00:00",3.00,0.00,3.00
2,0,1,231,32,360,3,45.5805,136.7415,"2001-05-17 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2001-05-26 00:00:00",272.1015,21.7681,6.8025,300.6721,"2001-05-31 00:00:00",3.00,0.00,3.00
2,0,1,231,32,359,3,45.12,135.36,"2001-05-17 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2001-05-26 00:00:00",272.1015,21.7681,6.8025,300.6721,"2001-05-31 00:00:00",3.00,0.00,3.00
3,0,4,241,38,530,550,16.086,8847.3,"2001-05-17 00:00:00","ZY - EXPRESS",9.95,1.99,"2001-05-26 00:00:00",8847.3,707.784,221.1825,9776.2665,"2001-05-31 00:00:00",550.00,0.00,550.00
4,0,3,266,85,4,3,57.0255,171.0765,"2001-05-17 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2001-05-26 00:00:00",171.0765,13.6861,4.2769,189.0395,"2001-05-31 00:00:00",2.00,1.00,1.00
5,0,4,164,92,512,550,37.086,20397.3,"2001-05-31 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2001-06-09 00:00:00",20397.3,1631.784,509.9325,22539.0165,"2001-06-14 00:00:00",550.00,0.00,550.00
6,0,4,223,11,513,550,26.5965,14628.075,"2001-05-31 00:00:00","OVERSEAS - DELUXE",29.95,2.99,"2001-06-09 00:00:00",14628.075,1170.246,365.7019,16164.0229,"2001-06-14 00:00:00",468.00,0.00,468.00
7,0,4,233,84,319,550,46.0635,25334.925,"2001-05-31 00:00:00","OVERSEAS - DELUXE",29.95,2.99,"2001-06-09 00:00:00",58685.55,4694.844,1467.1388,64847.5328,"2001-06-14 00:00:00",550.00,0.00,550.00
7,0,4,233,84,318,550,33.579,18468.45,"2001-05-31 00:00:00","OVERSEAS - DELUXE",29.95,2.99,"2001-06-09 00:00:00",58685.55,4694.844,1467.1388,64847.5328,"2001-06-14 00:00:00",550.00,0.00,550.00
7,0,4,233,84,317,550,27.0585,14882.175,"2001-05-31 00:00:00","OVERSEAS - DELUXE",29.95,2.99,"2001-06-09 00:00:00",58685.55,4694.844,1467.1388,64847.5328,"2001-06-14 00:00:00",550.00,0.00,550.00
8,0,4,238,78,407,3,43.2705,129.8115,"2001-05-31 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2001-06-09 00:00:00",693.378,55.4702,17.3345,766.1827,"2001-06-14 00:00:00",3.00,0.00,3.00
8,0,4,238,78,406,3,45.3705,136.1115,"2001-05-31 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2001-06-09 00:00:00",693.378,55.4702,17.3345,766.1827,"2001-06-14 00:00:00",3.00,0.00,3.00
8,0,4,238,78,405,3,49.644,148.932,"2001-05-31 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2001-06-09 00:00:00",693.378,55.4702,17.3345,766.1827,"2001-06-14 00:00:00",3.00,0.00,3.00
8,0,4,238,78,404,3,45.3705,136.1115,"2001-05-31 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2001-06-09 00:00:00",693.378,55.4702,17.3345,766.1827,"2001-06-14 00:00:00",3.00,0.00,3.00
